stevilka_police,komitent_id,datum_police,premija,tip_zavarovanja
634,643-02-3142,2012-12-15,90.21,1
635,882-27-0906,2011-10-31,168.55,3
636,776-20-2791,2008-05-29,91.08,3
637,403-78-0347,2014-08-10,99.52,3
638,467-38-3064,2004-04-13,63.9,1
639,665-59-4284,2004-05-02,154.63,1
640,303-54-4422,2015-12-24,41.95,2
641,276-30-0173,2011-02-10,62.93,2
642,265-70-5679,2018-05-23,61.93,2
643,732-53-5900,2005-07-19,164.96,3
644,343-69-7324,2009-07-09,106.19,2
645,884-54-3465,2010-05-02,97.26,1
646,273-96-5411,2013-07-07,111.98,3
647,850-16-1126,2020-02-18,127.18,2
648,772-63-0623,2004-11-10,79.44,1
649,413-83-0521,2011-12-22,75.47,1
650,599-69-6575,2013-04-11,27.72,3
651,532-33-4123,2015-12-22,118.99,3
652,187-61-5083,2016-03-04,169.99,3
653,232-40-3891,2010-01-12,157.18,2
654,599-69-6575,2018-02-27,30.06,3
655,561-22-5186,2015-04-30,120.88,2
656,672-20-8813,2013-10-24,135.39,3
657,104-47-4908,2009-05-11,82.25,2
658,164-20-8490,2016-12-18,42.23,2
659,364-91-0974,2007-01-27,153.78,1
660,828-76-6782,2010-03-01,105.49,2
661,149-83-2485,2012-03-30,121.74,1
662,589-96-3132,2012-03-08,37.35,1
663,378-95-3834,2008-11-24,69.25,2
664,554-52-9577,2013-03-26,81.64,1
665,443-70-8545,2007-05-12,99.05,3
666,566-84-3282,2008-03-23,72.01,1
667,262-73-9394,2013-03-24,80.66,1
668,610-84-5635,2005-04-14,137.82,3
669,695-76-5267,2005-03-23,73.65,2
670,654-67-2786,2013-11-14,76.88,1
671,611-27-0222,2005-10-16,33.14,1
672,697-02-6547,2009-05-04,41.57,2
673,534-25-7497,2010-05-17,121.97,3
674,863-25-0695,2013-03-10,88.48,2
675,604-42-7149,2013-10-12,131.27,1
676,455-16-8051,2017-07-22,32.16,1
677,210-70-8064,2005-01-07,71.58,2
678,522-99-4292,2016-12-03,36.96,3
679,161-23-8693,2015-06-06,38.02,2
680,169-36-3937,2015-05-21,164.83,1
681,740-81-3681,2007-11-20,137.05,3
682,312-36-1585,2003-12-30,114.21,3
683,345-06-9341,2010-10-06,118.14,2
684,401-29-2266,2017-11-04,46.84,1
685,287-15-8512,2004-11-28,134.99,2
686,861-97-1170,2016-06-27,127.8,3
687,359-52-3992,2020-03-08,39.28,2
688,598-64-0237,2017-03-06,96.87,3
689,534-25-7497,2015-01-18,106.51,2
690,428-68-9545,2009-09-22,41.33,3
691,317-11-4139,2010-04-22,10.23,1
692,596-52-9411,2010-05-16,116.16,2
693,326-46-4491,2020-04-16,110.26,1
694,609-16-6112,2005-06-06,28.1,3
695,112-08-1259,2016-04-27,118.04,3
696,343-69-7324,2016-02-04,22.68,2
697,419-37-9080,2007-09-15,87.81,1
698,870-69-4035,2018-02-20,134.55,2
699,439-65-2790,2009-11-25,175.43,2
700,787-33-1639,2012-07-07,94.02,1
701,614-85-5921,2005-05-26,124.84,3
702,331-19-2389,2018-02-05,131.24,1
703,497-12-7031,2007-07-24,128.46,2
704,109-03-5594,2005-01-10,126.12,2
705,630-69-3267,2014-01-01,78.6,2
706,717-73-5096,2009-07-03,111.39,2
707,642-99-1501,2011-01-08,34.65,1
708,566-35-5192,2018-06-19,169.63,1
709,350-75-8920,2005-06-17,44.1,2
710,146-18-7073,2018-09-14,110.61,1
711,149-11-4284,2018-09-01,62.17,1
712,566-84-3282,2015-05-23,130.27,1
713,216-74-3003,2018-10-26,74.64,1
714,555-01-5769,2016-10-13,86.2,3
715,131-78-5116,2006-10-03,106.56,3
716,662-05-0888,2004-05-23,99.49,3
717,602-52-3724,2018-12-27,89.3,1
718,429-24-2069,2019-06-30,217.78,3
719,494-48-0530,2016-06-05,39.11,1
720,501-81-3015,2005-08-03,34.72,3
721,779-16-1814,2010-10-09,103.42,3
722,744-88-6695,2008-02-04,20.45,2
723,426-69-3309,2005-06-30,170.1,3
724,483-37-9646,2017-08-09,81.74,1
725,129-38-6524,2008-07-17,90.0,3
726,588-07-7194,2009-06-26,50.75,2
727,294-42-4108,2009-10-14,90.2,2
728,899-29-5495,2017-12-07,76.77,1
729,440-67-1226,2007-02-26,100.57,1
730,892-85-5648,2014-12-17,153.64,1
731,889-37-4978,2012-01-10,151.34,3
732,740-92-6752,2011-11-28,80.94,2
733,526-93-5222,2006-01-13,77.71,1
734,571-47-9327,2018-10-15,70.04,1
735,214-45-5164,2011-06-24,51.32,2
736,549-37-4110,2015-11-13,77.18,3
737,747-49-4262,2008-07-26,68.19,1
738,218-07-5494,2015-05-18,124.47,2
739,105-40-4057,2018-01-18,161.76,3
740,839-30-9838,2008-03-22,124.32,2
741,472-47-2360,2014-04-11,138.2,2
742,319-86-9562,2013-05-18,100.61,2
743,561-29-5221,2011-03-04,125.47,3
744,219-23-0560,2014-12-06,58.39,1
745,212-13-6333,2016-04-24,147.03,1
746,544-64-8362,2005-02-27,76.24,1
747,109-32-4940,2017-12-01,145.91,3
748,643-02-3142,2013-04-07,82.66,2
749,609-81-8500,2013-03-05,144.07,2
750,823-66-9381,2020-02-08,114.4,3
751,650-18-2353,2010-03-29,64.21,1
752,220-02-7009,2007-11-22,88.9,1
753,499-90-1553,2005-10-31,-2.54,3
754,613-69-9996,2012-10-17,29.01,1
755,854-36-1989,2019-11-28,153.04,1
756,444-09-6580,2020-02-18,58.87,2
757,153-85-1449,2016-06-28,118.43,2
758,328-53-0465,2014-08-24,58.07,2
759,676-35-2727,2011-08-28,73.83,2
760,817-95-6045,2014-08-26,72.48,1
761,623-56-3491,2005-08-17,72.79,3
762,691-76-1627,2019-11-20,183.18,2
763,867-47-9701,2007-03-16,94.21,3
764,440-75-2440,2007-03-15,35.09,1
765,753-93-7040,2005-05-25,123.56,2
766,703-45-8132,2015-03-03,154.07,3
767,416-19-8314,2003-09-19,96.18,2
768,858-31-9926,2011-07-22,108.59,1
769,693-55-4605,2016-11-18,133.98,2
770,630-69-3267,2013-08-04,21.22,3
771,115-79-6491,2017-01-21,91.69,2
772,418-54-5223,2005-01-20,80.99,2
773,697-02-6547,2016-08-21,120.42,2
774,362-10-3333,2014-09-18,40.47,1
775,897-96-4187,2016-10-05,84.51,1
776,319-27-0755,2005-08-25,83.41,2
777,409-77-7637,2020-01-26,83.31,1
778,623-87-7409,2011-02-23,114.59,1
779,286-39-5090,2009-05-01,175.61,3
780,695-76-5267,2012-04-28,90.29,2
781,455-21-7811,2015-08-30,200.41,3
782,415-85-4998,2010-02-04,218.24,3
783,233-93-7489,2017-05-21,103.69,1
784,501-54-5238,2012-10-04,45.18,3
785,333-08-4827,2008-06-07,91.64,1
786,550-92-2834,2009-09-21,48.66,3
787,220-02-7009,2005-10-24,47.96,1
788,650-18-2353,2005-08-19,79.37,2
789,490-24-5185,2019-06-16,140.03,2
790,831-66-6802,2015-11-16,31.79,2
791,391-47-7352,2009-09-08,144.94,3
792,299-90-4675,2014-03-26,100.3,3
793,781-56-2106,2009-11-27,64.6,1
794,129-34-7180,2012-06-27,134.12,1
795,478-30-6141,2010-03-16,21.73,3
796,411-69-1842,2012-03-06,111.3,1
797,849-75-3213,2011-10-28,103.64,2
798,245-23-6915,2008-08-15,136.97,3
799,526-93-5222,2012-02-20,120.46,1
800,687-42-8502,2018-10-25,51.53,3
801,168-33-7406,2011-09-17,119.58,2
802,499-42-3406,2011-08-29,192.46,3
803,585-27-8941,2008-12-17,87.5,3
804,520-30-6534,2013-05-01,54.6,2
805,472-78-7073,2006-04-20,72.3,2
806,448-61-2773,2008-12-05,162.72,3
807,356-84-8124,2003-07-05,88.99,3
808,896-04-0286,2007-07-23,113.47,1
809,319-86-9562,2012-10-27,114.26,1
810,863-25-0695,2005-10-26,79.26,3
811,529-04-1287,2014-06-02,4.85,3
812,377-19-6756,2013-11-03,39.47,2
813,598-64-0237,2008-01-16,30.99,2
814,734-76-9139,2015-01-18,-1.65,3
815,228-78-8199,2009-05-22,78.94,2
816,452-60-7302,2017-05-01,-18.35,1
817,113-77-3731,2010-06-12,136.01,1
818,426-69-9938,2013-07-30,136.35,1
819,663-24-0535,2007-12-30,145.82,2
820,275-50-2965,2010-07-14,52.18,1
821,124-34-4748,2018-04-12,34.95,3
822,604-42-7149,2018-11-19,100.18,2
823,756-09-7074,2016-08-03,60.2,1
824,191-12-4983,2017-12-07,57.54,1
825,444-42-2771,2013-10-29,93.82,1
826,166-95-6139,2009-06-19,66.79,1
827,686-35-6167,2019-04-21,129.56,2
828,562-16-9792,2004-09-08,104.15,1
829,192-19-7475,2013-02-07,103.34,2
830,614-22-0989,2017-06-09,13.96,1
831,222-99-2673,2008-11-27,21.33,3
832,637-83-9204,2017-10-13,79.6,3
833,250-87-8788,2005-02-17,84.86,2
834,168-21-6037,2019-12-04,152.37,1
835,476-48-2424,2020-02-22,140.14,2
836,141-85-2735,2016-03-28,101.94,1
837,318-15-2472,2004-09-13,149.77,1
838,279-97-3206,2019-07-31,181.06,3
839,687-29-9231,2011-01-18,155.7,3
840,157-55-8417,2013-03-27,112.09,2
841,862-12-7624,2012-03-15,36.63,2
842,531-06-7294,2014-11-17,86.12,2
843,533-77-8601,2008-11-19,74.68,1
844,403-71-3108,2007-08-04,75.87,3
845,885-45-1155,2011-09-24,137.63,3
846,509-78-5967,2017-07-28,60.49,2
847,240-42-9267,2006-05-08,127.31,2
848,599-96-9931,2018-09-04,147.38,3
849,672-20-8813,2020-03-28,120.15,2
850,532-75-7179,2003-11-27,170.55,3
851,124-24-5811,2005-12-26,113.5,1
852,550-92-2834,2011-02-09,54.66,3
853,895-99-3364,2017-09-23,58.55,3
854,416-91-4327,2019-10-23,77.72,1
855,265-70-5679,2020-02-04,41.73,1
856,448-97-6948,2016-07-27,118.9,1
857,228-78-8199,2017-10-08,119.76,3
858,502-29-5009,2018-08-20,107.79,3
859,109-03-5594,2011-11-25,135.28,1
860,233-93-7489,2007-11-21,40.79,2
861,276-98-1285,2012-02-09,68.3,3
862,124-34-4748,2015-11-23,78.36,1
863,490-14-0065,2016-01-08,59.21,2
864,687-29-9231,2013-03-02,94.5,2
865,155-23-1317,2015-12-22,115.51,2
866,328-04-2394,2015-08-03,33.14,3
867,706-73-4564,2007-10-09,121.71,3
868,321-15-6064,2003-10-13,117.15,3
869,841-62-6847,2018-10-03,159.06,2
870,157-55-8417,2004-10-24,46.77,3
871,826-12-4627,2012-09-20,180.06,2
872,287-15-8512,2004-05-25,108.32,2
873,756-09-7074,2005-08-04,27.41,1
874,443-70-8545,2018-01-03,125.38,3
875,508-69-2861,2011-01-07,133.27,3
876,218-54-0347,2013-11-30,63.5,2
877,787-33-1639,2010-01-13,162.14,2
878,698-26-2772,2014-01-03,152.63,3
879,613-69-9996,2010-01-14,108.69,3
880,879-88-9861,2015-07-30,77.5,1
881,374-84-6144,2011-06-21,182.46,3
882,614-85-5921,2015-04-18,80.62,2
883,814-99-5722,2009-05-22,113.05,1
884,854-94-6517,2012-10-14,-81.71,1
885,568-21-5490,2015-05-08,164.38,3
886,849-75-3213,2009-05-20,159.94,1
887,637-53-1147,2006-04-20,102.62,2
888,635-71-9632,2018-11-10,-15.44,2
889,525-28-5150,2016-08-18,143.38,3
890,623-27-3498,2003-12-16,87.28,1
891,522-99-4292,2009-12-23,145.54,2
892,509-78-5967,2017-01-22,153.71,2
893,439-65-2790,2017-04-17,107.6,3
894,858-31-9926,2011-06-30,150.15,1
895,758-58-1262,2004-02-20,25.0,3
896,216-74-3003,2004-09-24,170.04,2
897,528-38-4837,2013-03-27,189.69,2
898,343-35-1418,2005-10-15,-13.02,2
899,294-42-4108,2014-08-23,21.18,1
900,244-80-2357,2010-11-26,63.63,1
901,375-53-7790,2009-06-01,88.25,1
902,897-65-3333,2008-11-02,110.35,2
903,338-57-0486,2018-01-27,69.64,1
904,112-31-9460,2008-06-05,149.5,2
905,266-10-1227,2006-10-02,16.75,3
906,892-85-5648,2016-10-06,75.53,2
907,436-33-5523,2017-02-10,92.27,2
908,623-56-3491,2016-08-13,133.75,2
909,608-67-1370,2003-06-26,74.63,1
910,287-15-8512,2006-01-12,172.15,2
911,836-08-8105,2019-09-09,109.93,1
912,501-79-3712,2012-10-09,159.15,3
913,341-50-6564,2017-11-17,90.11,1
914,417-76-0937,2015-06-21,93.05,3
915,520-02-2253,2008-07-31,49.83,1
916,188-52-0433,2003-05-21,133.93,3
917,262-73-9394,2009-01-02,91.35,3
918,679-06-1759,2005-05-07,58.86,2
919,351-66-9564,2011-01-10,-13.85,2
920,596-36-5270,2019-05-07,77.19,1
921,594-57-9452,2009-06-09,71.47,1
922,157-16-5440,2006-01-15,78.43,2
923,558-72-7492,2011-02-16,179.23,2
924,229-40-3704,2015-07-06,168.24,2
925,814-99-5722,2017-04-09,124.02,2
926,470-35-3591,2006-01-15,5.55,2
927,495-93-9936,2015-06-26,87.16,3
928,543-27-3352,2014-09-04,82.74,1
929,199-66-4476,2009-11-07,17.29,2
930,889-37-4978,2006-12-05,78.11,3
931,253-39-9043,2015-12-24,147.25,2
932,439-65-2790,2008-07-07,88.71,3
933,249-13-3215,2017-08-09,56.06,3
934,268-65-2557,2014-05-14,145.06,1
935,282-27-7330,2012-08-10,59.93,3
936,393-50-3583,2014-01-24,60.86,2
937,537-68-5327,2003-07-02,128.6,2
938,599-82-2668,2019-07-03,79.38,2
939,436-33-5523,2020-02-08,168.79,3
940,599-82-2668,2012-05-13,123.6,3
941,227-20-4293,2010-10-29,126.6,2
942,561-22-5186,2004-06-01,12.87,1
943,410-84-4805,2009-11-04,135.2,3
944,428-66-8109,2008-02-25,156.97,3
945,262-70-9778,2005-06-13,74.32,2
946,263-54-5972,2013-06-08,119.76,3
947,787-33-1639,2004-08-08,61.67,2
948,721-15-1476,2017-12-25,102.02,3
949,588-07-7194,2016-06-14,45.76,2
950,151-82-0333,2006-03-20,141.83,1
951,660-89-6724,2015-04-09,82.5,1
952,486-12-2841,2008-03-21,108.83,2
953,575-62-9992,2004-03-05,119.55,2
954,575-62-9992,2004-11-13,103.72,2
955,810-21-7343,2020-02-13,69.1,1
956,800-43-6062,2006-06-12,68.48,2
957,378-07-9519,2020-02-12,7.99,2
958,478-30-6141,2018-09-24,18.92,2
959,835-58-1405,2011-12-06,52.54,2
960,671-79-3370,2011-12-31,209.79,1
961,109-51-6752,2008-10-16,64.08,1
962,100-35-2361,2010-08-12,171.29,3
963,766-73-1757,2018-04-07,177.69,1
964,692-18-0430,2010-04-15,66.74,1
965,825-59-5270,2010-02-28,160.29,3
966,691-50-1442,2018-08-19,138.46,3
967,166-95-6139,2009-07-31,238.87,1
968,878-21-5364,2003-12-21,202.85,3
969,320-62-6406,2005-07-24,44.52,1
970,840-76-4564,2019-06-23,69.62,2
971,595-55-3333,2012-08-28,160.73,3
972,602-52-3724,2010-06-03,43.79,3
973,847-65-8226,2018-06-12,103.13,3
974,598-23-7916,2012-12-08,190.9,1
975,577-80-6888,2017-01-18,72.17,1
976,812-42-3004,2014-10-31,121.59,1
977,334-85-3718,2018-01-01,184.39,1
978,403-29-9782,2018-01-22,97.21,3
979,309-23-2159,2006-03-28,109.99,2
980,658-63-9457,2004-01-03,47.8,3
981,744-88-6695,2016-03-18,135.29,3
982,469-68-9847,2006-12-29,107.59,1
983,825-59-5270,2019-02-20,63.28,1
984,284-53-8293,2008-03-08,104.64,2
985,577-72-2390,2019-11-21,130.27,2
986,494-48-0530,2005-10-07,102.7,3
987,141-78-0824,2006-08-25,65.63,2
988,156-71-3139,2004-11-09,119.51,1
989,559-49-5022,2015-08-23,188.11,3
990,866-89-6676,2017-01-25,96.36,2
991,330-41-0445,2013-04-27,96.9,1
992,472-61-8452,2006-12-13,107.24,1
993,193-22-3590,2004-01-04,119.23,3
994,861-39-2228,2006-05-06,124.28,1
995,579-68-9605,2012-12-02,155.15,1
996,722-64-2022,2018-03-25,1.81,1
997,861-97-1170,2013-08-21,108.8,1
998,615-72-1684,2015-09-16,81.89,3
999,892-29-2099,2004-08-28,92.91,1
1000,456-68-9112,2011-10-06,167.77,2
